,products,product,title,subTitle,currencyAmount,currencyType,displayPrice,isDomestic,id,price,productSellerCode,approvalStatus,saleStatus,stockItems,bundle,currencyAmount,displayPrice,optionPrice,attributes,id,quantity,version
57,,,Çok Amaçlı Katlı Düzenleyici,,70.00,1,70.00,false,391440186,70.00,70651451,1,2,"
                        ",,70.00,70.00,,,391440186,,
58,,,Beyaz Melek Kanadı Tutacaklı Seramik Kupa Bardak,,67.00,1,67.00,false,391439742,67.00,70651372,1,2,"
                        ",,67.00,67.00,,,391439742,,
59,,,Balina Şeklinde Seramik Kupa Bardak,,67.00,1,67.00,false,391439736,67.00,70651371,1,2,"
                        ",,67.00,67.00,,,391439736,,
60,,,Ayarlanabilir Kedi Tasması 120 cm (4 Renk),,28.00,1,28.00,false,391439733,28.00,70651357,1,2,"
                        ",,28.00,28.00,,,391439733,,
61,,,9 Parça Yıldız Alyan Seti 120 CM,,40.60,1,40.60,false,391439232,40.60,70651464,1,2,"
                        ",,40.60,40.60,,,391439232,,
62,,,5 Gözlü Çorap Sepeti 3 lü Paket,,32.10,1,32.10,false,391439197,32.10,70651445,1,2,"
                        ",,32.10,32.10,,,391439197,,
63,,,RENKLİ MANYETİK TOPLAR NEODYUM MIKNATIS KÜP BİLYE 216 ADET 5 MM,,169.90,1,144.42,false,390796612,169.90,90003,1,2,"
                        ",,169.90,144.42,,,390796612,,
64,,,RENKLİ MANYETİK TOPLAR NEODYUM MIKNATIS KÜP BİLYE 216 ADET 5 MM,,169.90,1,135.92,false,390626740,169.90,90002,1,2,"
                        ",,169.90,135.92,,,390626740,,
65,,,Tezgah Üstü Çöp Kovası LİLA,,26.20,1,26.20,false,390319255,26.20,70651441,1,2,"
                        ",,26.20,26.20,,,390319255,,
66,,,Seyahat Tipi Sakal Traş Makinesi RD-9001,,62.50,1,62.50,false,390318749,62.50,70651427,1,2,"
                        ",,62.50,62.50,,,390318749,,
67,,,Seyahat Tipi Sakal Traş Makinesi RD-6008,,62.50,1,62.50,false,390318721,62.50,70651426,1,2,"
                        ",,62.50,62.50,,,390318721,,
